URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,2,1,0.333333222,0.002890173,133,0.360902256,53.3443609,133,48,1038,1,0,1
https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,48,31,0.215189871,0.014296055,628,0.452229299,251.3808917,628,284,5526,0,0,1
https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,36,23,0.220338979,0.010970621,573,0.504363002,229.4017452,573,289,5378,1,0,1
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,35,74,-0.357798162,0.020821394,566,0.530035336,226.6120141,566,300,5235,5,0,1
https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,19,8,0.407407392,0.009836066,311,0.427652733,124.5710611,311,133,2745,2,0,1
https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,85,26,0.531531527,0.01238701,969,0.481940144,387.7927761,969,467,8961,2,0,1
https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,21,38,-0.288135588,0.016770893,419,0.443914081,167.7775656,419,186,3518,1,0,1
https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,27,9,0.499999986,0.008906482,424,0.54245283,169.8169811,424,230,4042,5,0,1
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,37,50,-0.149425286,0.017045455,544,0.525735294,217.8102941,544,286,5104,4,0,1
https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,57,68,-0.087999999,0.02077102,653,0.4762634,261.3905054,653,311,6018,2,0,1
https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,55,19,0.48648648,0.011451563,708,0.498587571,283.399435,708,353,6462,4,0,1
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79,23,0.549019602,0.014275717,807,0.535315985,323.0141264,807,432,7145,0,0,1
https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.021720613,251,0.569721116,100.6278884,251,143,2348,0,0,1
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,18,27,-0.199999996,0.011462048,458,0.458515284,183.3834061,458,210,3926,3,0,1
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,34,26,0.133333331,0.012094336,578,0.491349481,231.3965398,578,284,4961,3,0,1
https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,34,26,0.133333331,0.012094336,578,0.491349481,231.3965398,578,284,4961,3,0,1
https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,42,11,0.584905649,0.012089416,505,0.455445545,202.1821782,505,230,4384,3,0,1
https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,30,10,0.499999988,0.009487666,477,0.50524109,191.0020964,477,241,4216,3,0,1
https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,55,6,0.803278675,0.00922565,767,0.528031291,307.0112125,767,405,6612,3,0,1
https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,7,0,0.999999857,0.004421984,187,0.465240642,74.98609626,187,87,1583,2,0,1
https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,19,46,-0.415384609,0.015341043,487,0.496919918,194.998768,487,242,4237,3,0,1
https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,11,10,0.047619045,0.01594533,157,0.426751592,62.97070064,157,67,1317,2,0,1
https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,25,14,0.282051275,0.008839529,532,0.404135338,212.9616541,532,215,4412,1,0,1
https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,20,3,0.739130403,0.011639676,232,0.474137931,92.98965517,232,110,1976,1,0,1
https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,13,10,0.130434777,0.008285303,356,0.320224719,142.5280899,356,114,2776,1,0,1
https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,21,14,0.199999994,0.010570825,404,0.408415842,161.7633663,404,165,3311,4,0,1
https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,20,26,-0.13043478,0.012561442,472,0.349576271,188.9398305,472,165,3662,1,0,1
https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,29,23,0.115384613,0.013003251,463,0.457883369,185.3831533,463,212,3999,3,0,1
https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,62,32,0.319148933,0.011971472,911,0.48518112,364.5940724,911,442,7852,3,0,1
https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,37,0.221052629,0.022016222,529,0.359168242,211.7436673,529,190,4315,0,0,1
https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,35,0.29292929,0.014218009,799,0.434292866,319.7737171,799,347,6963,2,0,1
https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,58,27,0.364705878,0.017959011,578,0.42733564,231.3709343,578,247,4733,2,0,1
https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,53,23,0.394736837,0.013130615,694,0.416426513,277.7665706,694,289,5788,1,0,1
https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,41,22,0.301587297,0.015309842,499,0.394789579,199.7579158,499,197,4115,3,0,1
https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21,11,0.31249999,0.012872084,305,0.324590164,122.1298361,305,99,2486,2,0,1
https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,13,0.434782599,0.02060009,284,0.383802817,113.7535211,284,109,2233,3,0,1
https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,63,33,0.312499997,0.013566987,859,0.405122235,343.7620489,859,348,7076,2,0,1
https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,43,54,-0.113402061,0.014538369,825,0.362424242,330.1449697,825,299,6672,2,0,1
https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,31,22,0.169811318,0.0110601,549,0.493624772,219.7974499,549,271,4792,2,0,1
https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,29,0,0.013548236,530,0.388679245,212.1554717,530,206,4281,0,0,1
https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,53,24,0.376623372,0.015640869,585,0.391452991,234.1565812,585,229,4923,0,0,1
https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,58,20,0.487179481,0.014614952,637,0.40188383,254.9607535,637,256,5337,5,0,1
https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.999999958,0.011846002,230,0.465217391,92.18608696,230,107,2026,4,0,1
https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,74,39,0.309734511,0.021168977,650,0.404615385,260.1618462,650,263,5338,6,0,1
https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17,0,0.999999941,0.006259205,331,0.450151057,132.5800604,331,149,2716,0,0,1
https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.473684186,0.006436314,334,0.476047904,133.7904192,334,159,2952,2,0,1
